Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
78,Project Gotham Racing (JP weekly sales),,XB,Microsoft,Bizarre Creations,,,,,2100000.0,1540000.0,440000.0,40000.0,70000.0,2002-02-22 00:00:00,2018-09-25 00:00:00
79,Need for Speed: Most Wanted 5-1-0,,PSP,Electronic Arts,EA Black Box,,7.4,,,2089999.9999999998,1770000.0,130000.0,20000.0,170000.0,2005-11-15 00:00:00,N/A
80,R4: Ridge Racer Type 4,,PS,Namco,Namco,,9.1,,,2060000.0,680000.0,460000.0,790000.0,130000.0,1999-05-04 00:00:00,N/A
81,Need for Speed: Undercover,,PS3,Electronic Arts,EA Vancouver,6.0,5.9,,,2060000.0,630000.0,1010000.0,50000.0,380000.0,2008-11-17 00:00:00,N/A
82,Need for Speed: ProStreet,,X360,Electronic Arts,EA Black Box,,7.1,,,2049999.9999999998,1040000.0,790000.0,10000.0,210000.0,2007-11-15 00:00:00,N/A
83,Need for Speed: ProStreet,,PS3,Electronic Arts,EA Black Box,,7.2,,,2040000.0,730000.0,910000.0,40000.0,360000.0,2007-11-13 00:00:00,N/A
84,PGR4 - Project Gotham Racing 4,,X360,Microsoft Game Studios,Bizarre Creations,,8.6,,,2040000.0,480000.0,1280000.0,20000.0,250000.0,2007-10-02 00:00:00,N/A
85,Need for Speed: The Run,,PS3,Electronic Arts,EA Black Box,,6.3,,,2009999.9999999998,580000.0,1050000.0,30000.0,350000.0,2011-11-15 00:00:00,N/A
86,Driveclub,,PS4,Sony Computer Entertainment,Evolution Studios,5.8,7.2,,2000000.0,,,,,,2014-10-07 00:00:00,2018-09-25 00:00:00
87,Trials HD,,XBL,Microsoft,"RedLynx, Ltd.",8.5,8.6,,2000000.0,,,,,,2009-08-12 00:00:00,N/A
88,Rad Racer,,NES,Nintendo,SquareSoft,,,,1960000.0,,,,,,1987-01-01 00:00:00,N/A
89,Crash Nitro Kart,,PS2,VU Games,Vicarious Visions,,,,,1950000.0,740000.0,1010000.0,,200000.0,2003-11-13 00:00:00,N/A
