Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
337,How to Train Your Dragon 2,,WiiU,Little Orbit,Torus Games,,,,,80000.0,30000.0,50000.0,,10000.0,2014-06-10 00:00:00,2018-03-17
338,Darksiders II: Deathinitive Edition,,XOne,Nordic Games,Gunfire Games,,7.5,,,80000.0,50000.0,30000.0,,10000.0,2015-10-30 00:00:00,2018-10-02
339,Akiba's Trip Plus,,PSP,Acquire,Acquire,,,,,80000.0,,,80000.0,,2012-06-14 00:00:00,2018-12-03
340,Adventure Time: Explore the Dungeon Because I Don't Know!,,X360,D3Publisher,Way Forward,,,,,80000.0,30000.0,40000.0,,10000.0,2013-11-19 00:00:00,2018-03-19
341,Disney Infinity 2.0: Marvel Super Heroes,,PSV,Disney Interactive Studios,Avalanche Software,,,,,80000.0,,60000.0,,20000.0,2015-05-09 00:00:00,2018-02-06
342,ARK: Survival Evolved,,NS,Studio Wildcard,Studio Wildcard,,4.0,,,80000.0,70000.0,,,10000.0,2018-11-30 00:00:00,2018-09-22
343,Disneyland Adventures,,XOne,Microsoft Studios,Asobo Studio,,,,,70000.0,50000.0,10000.0,,10000.0,2017-10-31 00:00:00,2018-09-25
344,Shenmue I & II,,XOne,Sega,Sega,,,,,70000.0,50000.0,10000.0,,10000.0,2018-08-21 00:00:00,2018-07-28
345,City Shrouded in Shadow,,PS4,Namco Bandai Games,Granzella,,,,,70000.0,,,70000.0,,2017-10-19 00:00:00,2018-01-10
346,One Piece Unlimited World: Red,,WiiU,Namco Bandai Games,Ganbarion,,,,,70000.0,,40000.0,30000.0,0.0,2014-07-31 00:00:00,2018-10-19
347,Penguins of Madagascar,,3DS,Little Orbit,Little Orbit,,,,,70000.0,,60000.0,,0.0,2014-11-25 00:00:00,2018-04-07
348,The Amazing Spider-Man 2 (2014),,3DS,Activision,High Voltage Software,,,,,60000.0,30000.0,30000.0,,10000.0,2014-04-29 00:00:00,2018-03-19
349,Asterix and Obelix XXL2,,NS,Microids,Microids,,6.5,,,60000.0,,60000.0,,0.0,2018-11-29 00:00:00,2019-02-19
350,Conan Exiles,,XOne,Maximum Games,Funcom Oslo A/S,,,,,60000.0,50000.0,10000.0,,10000.0,2018-05-08 00:00:00,2018-03-18
351,SpongeBob SquarePants: Plankton's Robotic Revenge,,3DS,Activision,Behaviour Interactive Inc.,,,,,60000.0,,60000.0,,0.0,2013-10-22 00:00:00,2019-01-03
352,Assassin's Creed Odyssey,,PC,Ubisoft,Ubisoft Quebec,,,,,60000.0,,60000.0,,0.0,2018-10-05 00:00:00,2018-06-13
353,The Amazing Spider-Man 2 (2014),,WiiU,Activision,Beenox,,,,,60000.0,30000.0,30000.0,,0.0,2014-04-29 00:00:00,2018-03-19
354,SpongeBob SquarePants: Plankton's Robotic Revenge,,WiiU,Activision,Behaviour Interactive Inc.,,,,,60000.0,,50000.0,,0.0,2013-10-22 00:00:00,2019-01-03
355,Disaster Report 4 Plus: Summer Memories,,PS4,NIS America,Granzella,,,,,50000.0,,,50000.0,,2020-04-07 00:00:00,2018-12-19
356,Rodea the Sky Soldier,,3DS,NIS America,Kadokawa Games,,,,,50000.0,40000.0,0.0,,10000.0,2015-11-10 00:00:00,2018-04-06
357,Yakuza 3,,PS4,Sega,Sega,,,,,50000.0,,,50000.0,,2018-08-09 00:00:00,2018-08-25
358,Hellblade: Senua's Sacrifice,,PS4,505 Games,Ninja Theory,,8.3,,,50000.0,30000.0,10000.0,,10000.0,2018-12-04 00:00:00,2018-11-02
359,rain,,PS3,Sony Computer Entertainment,PlayStation C.A.M.P.!,,,,,50000.0,,,50000.0,,2013-10-01 00:00:00,2019-01-19
360,Resident Evil 4,,XOne,Capcom,Capcom,,,,,50000.0,40000.0,,,10000.0,2016-08-30 00:00:00,2018-09-04
361,Adventure Time: Explore the Dungeon Because I Don't Know!,,PS3,D3Publisher,Way Forward,,,,,50000.0,20000.0,20000.0,,10000.0,2013-11-19 00:00:00,2018-03-19
362,Yomawari: The Long Night Collection,,NS,NIS America,Nippon Ichi Software,6.0,,,,50000.0,40000.0,,10000.0,0.0,2018-10-30 00:00:00,2018-11-07
363,SpongeBob: HeroPants,,3DS,Activision,Behaviour Interactive,,,,,50000.0,40000.0,,,10000.0,2015-02-03 00:00:00,2018-04-15
364,Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta,,3DS,FuRyu Corporation,FuRyu,,,,,40000.0,,,40000.0,,2014-03-06 00:00:00,2019-04-23
365,Hotel Transylvania 3: Monsters Overboard,,XOne,Outright Games,Torus Games,,,,,40000.0,40000.0,,,0.0,2018-07-10 00:00:00,2019-03-24
366,Earthfall,,PS4,Gearbox Software,Holospark,,,,,40000.0,30000.0,,,10000.0,2018-07-13 00:00:00,2018-05-25
367,Darksiders: Warmastered Edition,,XOne,THQ Nordic,Kaiko,,,,,40000.0,40000.0,,,0.0,2016-11-22 00:00:00,2018-03-31
