Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
2202,Populous,,SNES,Acclaim Entertainment,Infinity,,,,,,,,,,1991-01-01 00:00:00,N/A
2203,Ports,,PC,Excalibur Publishing Limited,Excalibur Publishing Limited,,,,,,,,,,2011-08-26 00:00:00,N/A
2204,Ports of Call,,PC,Domark Software,Aegis International,,,,,,,,,,1989-01-01 00:00:00,N/A
2205,Post Pet DS: Yumemiru Momo to Fushigi no Pen,,DS,Marvelous Interactive,Marvelous Interactive,,,,,,,,,,2009-12-24 00:00:00,N/A
2206,President no Sentaku,,NES,Hot-B,Another Ltd.,,,,,,,,,,1990-03-02 00:00:00,N/A
2207,Pridefest,,And,Atari,Atari,,,,,,,,,,2015-01-01 00:00:00,N/A
2208,Princess Maker 2,,3DO,Micro Cabin,Micro Cabin,,,,,,,,,,1994-12-09 00:00:00,N/A
2209,Princess Maker 4 Portable,,PSP,Jinx,GeneX,,,,,,,,,,2006-10-12 00:00:00,N/A
2210,Princess Maker 5 Portable,,PSP,CyberFront,CyberFront,,,,,,,,,,2008-09-25 00:00:00,N/A
2211,Princess Maker Portable Pack,,PSP,CyberFront,CyberFront,,,,,,,,,,2008-09-25 00:00:00,N/A
2212,Pro Pinball Trilogy,,DC,Empire Interactive,Cunning Developments Empire Interactive,,,,,,,,,,2001-06-08 00:00:00,N/A
2213,Pro Pinball: Big Race USA,,PC,Empire Interactive,Cunning Developments,,,,,,,,,,1999-01-30 00:00:00,N/A
2214,Pro Pinball: Fantastic Journey,,PC,Empire Interactive,Cunning Developments,,,,,,,,,,1999-12-28 00:00:00,N/A
2215,Pro Pinball: The Web,,PC,Interplay,Cunning Developments,,,,,,,,,,1995-12-31 00:00:00,N/A
2216,Pro Pinball: Timeshock!,,PC,Interplay,Cunning Developments,,,,,,,,,,1998-03-27 00:00:00,N/A
2217,Professional Lumberjack 2016,,PS3,Namco Bandai Games,UIG Entertainment,,,,,,,,,,2015-03-05 00:00:00,2018-06-18 00:00:00
2218,Professional Lumberjack 2016,,XOne,Namco Bandai Games,UIG Entertainment,,,,,,,,,,2015-03-05 00:00:00,2018-06-18 00:00:00
2219,Professional Lumberjack 2016,,PS4,Namco Bandai Games,UIG Entertainment,,,,,,,,,,2015-03-05 00:00:00,2018-06-18 00:00:00
2220,Professional Lumberjack 2016,,PC,Namco Bandai Games,UIG Entertainment,,,,,,,,,,2015-03-05 00:00:00,2018-06-18 00:00:00
2221,Project Runway,,PC,Atari,Tornado Studios,,,,,,,,,,2010-02-25 00:00:00,N/A
2222,Puppy Luv: Spa and Resort,,GBA,Activision,Humagade,,,,,,,,,,2007-09-18 00:00:00,N/A
2223,QuickPick Farmer,,DSiW,Unknown,Dancing Dots,,,,,,,,,,2010-07-05 00:00:00,N/A
2224,R/C Helicopter,,PC,Summitsoft Entertainment,Summitsoft Entertainment,,,,,,,,,,2002-04-30 00:00:00,N/A
2225,Radio Helicopter,,PS2,505 Games,Tomcat System,,,,,,,,,,2004-11-01 00:00:00,N/A
2226,Radio Helicopter II,,PS2,505 Games,Aqua Systems,,,,,,,,,,2006-09-01 00:00:00,N/A
2227,Rail Nation,,PC,Travian Games GmbH,Travian Games GmbH,,,,,,,,,,2013-01-28 00:00:00,N/A
2228,Rail Simulator 2: Railworks Platform,,PC,Electronic Arts,Electronic Arts,,,,,,,,,,2009-06-12 00:00:00,N/A
2229,Railfan: Taiwan Takatetsu,,PS3,Ongakukan,Ongakukan,,,,,,,,,,2007-11-01 00:00:00,N/A
2230,Railroad Pioneer,,PC,Nordic Games,JoWooD Entertainment AG,,,,,,,,,,2003-10-17 00:00:00,2018-07-19 00:00:00
2231,Railroad X,,PC,Koch Media,Soft Pro,,,,,,,,,,2014-06-09 00:00:00,N/A
2232,RailWorks,,PC,RailSimulator.com,RailSimulator.com,,7.0,,,,,,,,2009-06-12 00:00:00,N/A
2233,RailWorks Challenger,,PC,RailSimulator.com,RailSimulator.com,,,,,,,,,,2009-10-30 00:00:00,N/A
2234,RC Helicopter: Remote Control Simulation,,PS,Agetec,Tomcat System,,,,,,,,,,2003-03-01 00:00:00,N/A
2235,RC-AirSim,,XBL,Microsoft,Some Call Me Tim,,,,,,,,,,2009-01-20 00:00:00,N/A
2236,Reach for the Skies,,PC,Virgin Interactive,Rowan Software Ltd.,,,,,,,,,,1993-01-01 00:00:00,N/A
2237,Reach for the Stars,,PC,Strategic Studies Group,Strategic Studies Group,,,,,,,,,,2000-09-14 00:00:00,N/A
2238,Reach for the Stars (1986),,PC,Strategic Studies Group,Strategic Studies Group,,,,,,,,,,1986-01-01 00:00:00,N/A
2239,Real Kanojo,,PC,Illusion Soft,Illusion Soft,,,,,,,,,,2010-02-19 00:00:00,N/A
2240,RealFlight,,PC,Hobbico,Knife Edge Software,,,,,,,,,,2007-11-01 00:00:00,N/A
2241,Rebel Raiders: Operation Nighthawk,,PC,Kando Games,Kando Games,,,,,,,,,,2006-03-01 00:00:00,N/A
2242,Rebirth of Honor,,PC,Tri Synergy,Tri Synergy,,,,,,,,,,2005-01-01 00:00:00,N/A
2243,RECYCLE,,PC,Rondomedia,Rondomedia,,,,,,,,,,2014-09-03 00:00:00,N/A
2244,Red Arrows,,PC,Unknown,Database Software,,,,,,,,,,N/A,N/A
2245,Red Baron,,PS2,Davilex,Atomic Planet Entertainment,,,,,,,,,,2005-11-25 00:00:00,N/A
2246,Red Baron,,PC,Sierra Entertainment,"Dynamix, Inc.",,,,,,,,,,1990-01-01 00:00:00,N/A
2247,Red Baron 3D,,PC,Sierra Entertainment,Dynamix,,,,,,,,,,1998-10-31 00:00:00,N/A
2248,Red Baron Arcade,,PSN,Sierra Entertainment,Stainless Studios Ltd.,,,,,,,,,,2009-03-12 00:00:00,N/A
