Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
83,LEGO Harry Potter: Years 1-4,,PS3,Warner Bros. Interactive,Traveller's Tales,,7.9,,,1370000.0,550000.0,610000.0,,210000.0,2010-06-29 00:00:00,2018-12-01 00:00:00
84,Disney Princess: Enchanted Journey,,Wii,Disney Interactive Studios,Papaya Studios,,,,,1350000.0,1220000.0,30000.0,,100000.0,2007-10-30 00:00:00,N/A
85,The ICO & Shadow of the Colossus Collection,,PS3,Sony Computer Entertainment,Bluepoint Games,9.0,9.0,,,1340000.0,670000.0,360000.0,130000.0,180000.0,2011-09-27 00:00:00,N/A
86,The Legend of Zelda: Tri Force Heroes,,3DS,Nintendo,GREZZO,,7.4,,1330000.0,,,,,,2015-10-23 00:00:00,2018-01-04 00:00:00
87,Grand Theft Auto: Chinatown Wars,,DS,Rockstar Games,Rockstar Leeds/North,9.3,9.5,9.6,,1330000.0,580000.0,560000.0,50000.0,140000.0,2009-03-17 00:00:00,N/A
88,Rugrats Studio Tour,,PS,THQ,n-Space,,,,,1310000.0,570000.0,670000.0,,70000.0,1999-11-10 00:00:00,N/A
89,LEGO Batman: The Videogame,,PS3,Warner Bros. Interactive,Traveller's Tales,7.5,7.2,,,1310000.0,720000.0,390000.0,,190000.0,2008-09-23 00:00:00,N/A
90,Adventure,,2600,Atari,Atari,,,,,1300000.0,1210000.0,80000.0,,10000.0,1978-01-01 00:00:00,N/A
91,LEGO Batman: The Videogame,,PSP,Warner Bros. Interactive,Traveller's Tales,7.1,7.9,,,1300000.0,570000.0,460000.0,,270000.0,2008-09-23 00:00:00,N/A
92,LEGO Batman: The Videogame,,PS2,Warner Bros. Interactive,Traveller's Tales,7.5,7.6,,,1270000.0,720000.0,30000.0,,520000.0,2008-09-23 00:00:00,N/A
93,Tomb Raider: Underworld,,PS3,Eidos Interactive,Crystal Dynamics,,7.8,,,1260000.0,450000.0,550000.0,50000.0,210000.0,2008-11-18 00:00:00,N/A
94,PokéPark Wii: Pikachu's Adventure,,Wii,Nintendo,Creatures Inc.,,,,1250000.0,,,,,,2010-11-02 00:00:00,N/A
95,Parfait: Chocolat Second Style,,PS2,Alchemist,Alchemist,,,,,1220000.0,590000.0,460000.0,10000.0,150000.0,2006-06-29 00:00:00,N/A
96,Minecraft: Story Mode,,X360,Mojang,Telltale Games,,,,,1200000.0,670000.0,420000.0,,110000.0,2015-10-27 00:00:00,2018-01-13 00:00:00
97,Shenmue,,DC,Sega,Sega-AM2,,8.9,,1200000.0,,,,,,2000-11-07 00:00:00,N/A
98,Scarface: The World is Yours,,PS2,Sierra Entertainment,Radical Entertainment,,,,,1190000.0,990000.0,40000.0,,160000.0,2006-10-08 00:00:00,N/A
99,LEGO Indiana Jones 2: The Adventure Continues,,DS,LucasArts,Traveller's Tales,,,,,1190000.0,650000.0,430000.0,,120000.0,2009-11-17 00:00:00,N/A
100,Metal Gear Solid VR Missions,,PS,Konami,Konami Computer Entertainment Japan,,6.8,,,1180000.0,660000.0,450000.0,,80000.0,1999-09-24 00:00:00,N/A
101,LEGO Indiana Jones: The Original Adventures,,PSP,LucasArts,Traveller's Tales,,7.6,,,1180000.0,400000.0,490000.0,,300000.0,2008-06-03 00:00:00,N/A
102,Mystery Case Files: MillionHeir,,DS,Nintendo,Big Fish Games,,7.4,,1180000.0,,,,,,2008-09-08 00:00:00,N/A
103,Stranded Deep,,PC,Unknown,Beam Team Games,,,,1150000.0,,,,,,N/A,2019-02-03 00:00:00
104,Shadow of the Colossus,,PS2,Sony Computer Entertainment,Team ICO,9.4,9.1,9.4,,1140000.0,780000.0,30000.0,200000.0,130000.0,2005-10-18 00:00:00,N/A
105,Grand Theft Auto: The Trilogy,,PS2,Rockstar Games,Rockstar North,,,,,1140000.0,,510000.0,,620000.0,2005-11-20 00:00:00,N/A
106,Rabbids Go Home,,Wii,Ubisoft,Ubisoft Montpellier,7.8,8.0,,,1130000.0,250000.0,740000.0,,140000.0,2009-11-03 00:00:00,N/A
107,Alien: Isolation,,PS4,Sega,Creative Assembly,,,,,1090000.0,290000.0,590000.0,50000.0,160000.0,2014-10-07 00:00:00,2018-01-05 00:00:00
108,Grand Theft Auto: Chinatown Wars,,PSP,Rockstar Games,Rockstar Leeds,,9.2,,,1080000.0,280000.0,500000.0,30000.0,270000.0,2009-10-20 00:00:00,N/A
109,Prince of Persia,,PS3,Ubisoft,Ubisoft Montreal,8.4,8.3,8.2,,1070000.0,470000.0,410000.0,30000.0,170000.0,2008-12-02 00:00:00,N/A
110,MySims Agents,,DS,Electronic Arts,EA Redwood Shores,,,,,1070000.0,540000.0,420000.0,0.0,110000.0,2009-09-29 00:00:00,N/A
111,Tomb Raider: Underworld,,X360,Eidos Interactive,Crystal Dynamics,,7.5,,,1070000.0,530000.0,420000.0,10000.0,110000.0,2008-11-18 00:00:00,N/A
112,Endless Ocean,,Wii,Nintendo,Arika,8.3,6.8,,,1060000.0,430000.0,460000.0,90000.0,90000.0,2008-01-21 00:00:00,N/A
113,Brothers: A Tale of Two Sons,,PC,505 Games,Starbreeze Studios,,,,1060000.0,,,,,,2013-09-03 00:00:00,2018-06-27 00:00:00
114,MySims Agents,,Wii,Electronic Arts,EA Redwood Shores,7.4,7.5,,,1050000.0,630000.0,320000.0,0.0,100000.0,2009-09-29 00:00:00,N/A
115,Legacy of Kain: Soul Reaver,,PS,Eidos Interactive,Crystal Dynamics,,8.9,,,1040000.0,580000.0,400000.0,,70000.0,1999-08-16 00:00:00,N/A
116,LEGO Indiana Jones: The Original Adventures,,PS3,LucasArts,Traveller's Tales,,7.7,,,1030000.0,440000.0,430000.0,,170000.0,2008-06-03 00:00:00,N/A
117,Disney Fairies: Tinker Bell and the Lost Treasure,,DS,Disney Interactive Studios,Hyde,,,,,1030000.0,570000.0,350000.0,20000.0,100000.0,2009-10-27 00:00:00,N/A
118,LEGO Indiana Jones 2: The Adventure Continues,,X360,LucasArts,Traveller's Tales,,,,,1020000.0,620000.0,310000.0,,90000.0,2009-11-17 00:00:00,N/A
119,Harry Potter and the Prisoner of Azkaban,,PS2,Electronic Arts,Electronic Arts,,,,,1020000.0,500000.0,390000.0,,130000.0,2004-06-02 00:00:00,N/A
120,The Wolf Among Us,,PC,Unknown,Telltale Games,,,,1010000.0,,,,,,N/A,2019-02-05 00:00:00
121,Prince of Persia,,X360,Ubisoft,Ubisoft Montreal,8.4,8.2,6.0,,1010000.0,540000.0,340000.0,20000.0,100000.0,2008-12-02 00:00:00,N/A
122,Blade Runner,,PC,Virgin Interactive,Westwood Studios,,,,1000000.0,,,,,,1997-11-01 00:00:00,N/A
123,Rise of the Tomb Raider,,XOne,Square Enix,Crystal Dynamics,,,,1000000.0,,,,,,2015-11-10 00:00:00,2018-04-11 00:00:00
