Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
461,Wario Land II (GBC),,GB,Nintendo,Nintendo R&D1,,,,,380000.0,,,380000.0,,1999-03-02 00:00:00,N/A
462,Yoshi Touch & Go,,DS,Nintendo,Nintendo EAD,,,,,380000.0,340000.0,20000.0,,30000.0,2005-03-14 00:00:00,N/A
463,The Cat in the Hat,,GBA,Jack of All Games,NewKidCo,,,,,380000.0,270000.0,100000.0,,10000.0,2005-04-26 00:00:00,N/A
464,Raving Rabbids: Travel in Time 3D,,3DS,Ubisoft,Ubisoft Paris,,5.8,,,380000.0,110000.0,240000.0,,40000.0,2011-04-10 00:00:00,2018-01-20 00:00:00
465,Ice Age: Dawn of the Dinosaurs,,DS,Activision,Artificial Mind and Movement,,5.0,,,380000.0,200000.0,150000.0,,40000.0,2009-06-30 00:00:00,N/A
466,Rayman Legends,,XOne,Ubisoft,Ubisoft Montpellier,,,,,380000.0,130000.0,220000.0,,30000.0,2014-02-18 00:00:00,2018-03-20 00:00:00
467,Bloody Trapland,,PC,Unknown,2Play,,,,380000.0,,,,,,N/A,2019-02-10 00:00:00
468,Dora The Explorer: Dora Saves the Snow Princess,,PS2,2K Play,High Voltage Software,,,,,380000.0,190000.0,150000.0,,50000.0,2008-10-27 00:00:00,N/A
469,"Monsters, Inc. Scream Arena",,GC,THQ,Radical Entertainment,,3.8,,,370000.0,290000.0,70000.0,,10000.0,2002-09-14 00:00:00,N/A
470,Shovel Knight,,NS,Yacht Club Games,Yacht Club Games,,9.0,,370000.0,,,,,,2019-04-09 00:00:00,2019-01-28 00:00:00
471,Pac-Man World 2,,GC,Namco,Namco,,7.5,,,370000.0,280000.0,70000.0,,10000.0,2002-03-19 00:00:00,N/A
472,The Legend of Spyro: A New Beginning,,DS,Sierra Entertainment,Amaze Entertainment,,7.1,,,370000.0,330000.0,10000.0,,30000.0,2006-10-17 00:00:00,N/A
473,The Legend of Spyro: The Eternal Night,,DS,Sierra Entertainment,Amaze Entertainment,,,,,370000.0,320000.0,20000.0,,30000.0,2007-10-02 00:00:00,N/A
474,SteamWorld Dig: A Fistful of Dirt,,PC,Image & Form Games,Image & Form Games,,,,370000.0,,,,,,2013-12-05 00:00:00,2018-03-19 00:00:00
475,Sonic Lost World,,WiiU,Sega,Sonic Team,,6.0,,,370000.0,200000.0,130000.0,10000.0,30000.0,2013-10-29 00:00:00,2018-04-07 00:00:00
476,Princess.Loot.Pixel.Again,,PC,Unknown,EfimovMax,,,,370000.0,,,,,,N/A,2019-02-11 00:00:00
477,Castlevania: Order of Ecclesia,,DS,Konami,Konami,8.3,8.2,9.2,,370000.0,270000.0,30000.0,40000.0,30000.0,2008-10-21 00:00:00,N/A
478,LocoRoco 2,,PSP,Sony Computer Entertainment,SCE Japan Studio,,8.5,,,360000.0,210000.0,90000.0,10000.0,50000.0,2009-02-10 00:00:00,2018-09-17 00:00:00
479,Kirby's Dream Land 3,,SNES,Nintendo,HAL Laboratory,,,,,360000.0,,,360000.0,0.0,1997-11-27 00:00:00,N/A
480,Tiny and Big: Grandpa's Leftovers,,PC,Unknown,Black Pants Studio,,,,360000.0,,,,,,N/A,2019-02-11 00:00:00
481,Disney's The Haunted Mansion,,PS2,TDK Mediactive,High Voltage Software,,,,,360000.0,180000.0,140000.0,,50000.0,2003-10-14 00:00:00,N/A
482,Mega Man 11,,NS,Capcom,Capcom,,8.0,,,360000.0,290000.0,,30000.0,30000.0,2018-10-02 00:00:00,2018-09-12 00:00:00
483,Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,,SNES,Konami,Konami,,,,,360000.0,,,360000.0,,1994-12-16 00:00:00,N/A
484,Shrek,,XB,TDK Mediactive,Digital Illusions,,,,,360000.0,250000.0,100000.0,,10000.0,2001-11-14 00:00:00,N/A
485,Mega Man X3,,SNES,Capcom,Capcom,,,,,350000.0,40000.0,10000.0,300000.0,,1995-11-30 00:00:00,N/A
486,The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,,GBA,THQ,Helixe,,5.5,,,350000.0,250000.0,90000.0,,10000.0,2003-09-24 00:00:00,N/A
487,The Fairly Odd Parents: Shadow Showdown,,PS2,THQ,Blitz Games,,5.0,,,350000.0,170000.0,130000.0,,40000.0,2004-09-08 00:00:00,N/A
488,The Tale of Despereaux,,PS2,Brash Entertainment,Sensory Sweep Studios,,,,,350000.0,170000.0,130000.0,,40000.0,2008-12-02 00:00:00,N/A
489,Rugrats: Royal Ransom,,PS2,THQ,Avalanche Software,,,,,350000.0,170000.0,130000.0,,40000.0,2002-11-16 00:00:00,N/A
490,Over the Hedge,,GC,Activision,Edge of Reality,,6.7,,,350000.0,270000.0,70000.0,,10000.0,2006-05-09 00:00:00,N/A
491,The Wild Thornberrys Movie,,GBA,THQ,"Human Soft, Inc.",,,,,340000.0,250000.0,90000.0,,10000.0,2002-11-13 00:00:00,N/A
492,Classic NES Series: Ice Climber,,GBA,Nintendo,Nintendo,,,,,340000.0,100000.0,40000.0,200000.0,10000.0,2004-06-02 00:00:00,N/A
493,The Fairly Odd Parents: Shadow Showdown,,GBA,THQ,Helixe,,,,,340000.0,250000.0,90000.0,,10000.0,2004-09-20 00:00:00,N/A
494,Banjo-Kazooie: Grunty's Revenge,,GBA,THQ,Rare Ltd.,,6.6,,,330000.0,240000.0,90000.0,,10000.0,2003-09-10 00:00:00,N/A
495,Mega Man ZX Advent,,DS,Capcom,Inti Creates,,7.6,,,330000.0,220000.0,0.0,90000.0,20000.0,2007-10-23 00:00:00,N/A
496,Klonoa 2: Lunatea's Veil,,PS2,Namco,Namco,,9.4,,,330000.0,120000.0,100000.0,80000.0,30000.0,2001-07-25 00:00:00,N/A
497,Tak 2: The Staff of Dreams,,GC,THQ,Avalanche Software,,,,,330000.0,260000.0,70000.0,,10000.0,2004-10-11 00:00:00,N/A
498,Classic NES Series: Castlevania,,GBA,Nintendo,Konami,,7.4,,,330000.0,170000.0,60000.0,90000.0,10000.0,2004-10-25 00:00:00,N/A
499,Grow Home,,PC,Ubisoft,Ubisoft Reflections,,,,330000.0,,,,,,2015-02-04 00:00:00,N/A
