Rank,Name,Genre,Platform,Publisher,Developer,Vgchartz_Score,Critic_Score,User_Score,Total_Shipped,Total_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Update
1176,The Snack World: Trejarers Gold,,NS,Level 5,Level 5,,,,,120000.0,,,120000.0,,2020-02-14 00:00:00,2019-12-09 00:00:00
1177,Fate/Extra CCC,,PSP,Marvelous Entertainment,Marvelous / Imageepoch,,,,,120000.0,,,120000.0,,2013-03-28 00:00:00,2018-11-15 00:00:00
1178,Call of Cthulhu,,PS4,Focus Home Interactive,Cyanide,,,,,120000.0,70000.0,30000.0,,20000.0,2018-10-30 00:00:00,2019-03-23 00:00:00
1179,Slayers,,SNES,Banpresto,Bec,,,,,120000.0,,,120000.0,,1994-06-24 00:00:00,N/A
1180,Medarot 4: Kabuto / Kuwagata Version,,GB,Imagineer,Natsume,,,,,120000.0,,,120000.0,,2001-03-23 00:00:00,N/A
1181,God Eater 2: Rage Burst,,PS4,Namco Bandai Games,Namco Bandai Games,,,,,120000.0,,10000.0,110000.0,0.0,2015-02-26 00:00:00,2018-07-04 00:00:00
1182,Lost Magic,,DS,Ubisoft,Taito Corporation,,,,,120000.0,90000.0,0.0,20000.0,10000.0,2006-04-25 00:00:00,N/A
1183,Phantasy Star Universe,,X360,Sega,Sonic Team,,6.6,,,120000.0,90000.0,10000.0,,10000.0,2006-10-25 00:00:00,N/A
1184,Tales of Destiny 2,,PSP,Namco Bandai,Namco Tales Studio,,,,,120000.0,,,120000.0,,2007-02-15 00:00:00,N/A
1185,MIND?0,,PSV,Aksys Games,Acquire,,,,,120000.0,50000.0,,40000.0,20000.0,2014-05-27 00:00:00,2018-11-16 00:00:00
1186,Lunar 2: Eternal Blue,,SAT,Kadokawa Shoten,Game Arts,,,,,120000.0,,,120000.0,,1998-07-23 00:00:00,N/A
1187,Thousand Arms,,PS,Atlus,RED Company,,,8.0,,120000.0,60000.0,40000.0,,10000.0,1999-10-13 00:00:00,N/A
1188,ASH: Archaic Sealed Heat,,DS,Nintendo,Mistwalker Corporation / Racjin,,,,,120000.0,,,120000.0,,2007-10-04 00:00:00,N/A
1189,Darkspore,,PC,Electronic Arts,Maxis,,6.6,,,110000.0,70000.0,30000.0,,10000.0,2011-04-26 00:00:00,N/A
1190,Sword Art Online: Hollow Realization,,PC,Bandai Namco Entertainment,Aquria,,,,110000.0,,,,,,2017-10-27 00:00:00,2019-03-22 00:00:00
1191,Dungeons & Dragons: Daggerdale,,PC,Atari,Bedlam Games,,,,110000.0,,,,,,2011-06-24 00:00:00,2019-04-08 00:00:00
1192,Digimon Story: Cyber Sleuth,,PS4,Namco Bandai Games,Media.Vision,,,7.7,,110000.0,,100000.0,,20000.0,2016-02-02 00:00:00,N/A
1193,Dokapon Kingdom,,PS2,Atlus,Sting,,,,,110000.0,50000.0,40000.0,20000.0,10000.0,2008-10-14 00:00:00,N/A
1194,A Witch's Tale,,DS,NIS America,Hit Maker,,5.0,,,110000.0,80000.0,,30000.0,10000.0,2009-10-06 00:00:00,N/A
1195,The Alliance Alive,,3DS,Atlus,Cattle Call,8.0,7.3,,,110000.0,40000.0,,60000.0,10000.0,2018-03-27 00:00:00,2019-03-16 00:00:00
1196,Phantasy Star Collection,,GBA,THQ,Digital Eclipse,,7.9,,,110000.0,80000.0,30000.0,,0.0,2002-11-24 00:00:00,N/A
1197,Shining Force NEO,,PS2,Sega,Neverland,,,,,110000.0,60000.0,40000.0,,10000.0,2005-10-20 00:00:00,N/A
